Country / Region	Type	Company / Agency	Company Description	Contact Person	Email Sent To	Email / Contact	Phone / WhatsApp	Role Applied For	Status	Date Email Sent	Date Applied	Follow-up Date	Reply Status	Confidence	Needs Manual Review	Recommended Action	Source	Notes	URLs	Last Gmail Thread ID	Last Gmail Message ID
UAE / Dubai	Direct Employer	Ontimeuae	Job lead / direct employer			careers@ontimeuae.ae	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
UAE / Dubai	Direct Employer	Oracle	Unclassified lead			oraclecareers@oracle.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8044.HEIC	OCR raw safety-net row from screenshot; verify before outreach. il | | | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR			
UAE / Dubai	Direct Employer	Oracle Middle East				oraclecareers@oracle.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Paraminfo	Job lead / direct employer			rekha.y@paraminfo.com	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
UAE / Dubai	Direct Employer	Presight AI	Company career-link lead			https://presight.ai/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8705.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8705.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://presight.ai/careers; presight.ai/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Property Finder	Company career-link lead		careers@propertyfinder.ae	careers@propertyfinder.ae		Product Designer	Applied	2026-06-02	2026-06-02	2026-06-09	No Reply	High	Yes	Apply now with tailored resume and email	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; IMG_8703.HEIC; Gmail sent last month	ATS 86/100. Tailored resume: resumes/property-finder-product-designer-resume.md. Report: resumes/property-finder-product-designer-ats-report.md. Figma: https://www.figma.com/design/or9EJUqIuF1yN5SEJ15LtP | Gmail sent id: 19e896596bf0a734 | Move from Unknown into UAE/GCC direct-employer research queue. | Tailored Product Designer application sent to Property Finder careers.	https://www.remotedxb.com/job/product-designer-property-finder; propertyfinder.ae/careers; OCR career-link list from screenshot; web/source verification still needed before applying.	19e896596bf0a734	19e896596bf0a734
UAE / Dubai	Direct Employer	Propertyfinder	Unclassified lead			careers@propertyfinder.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8044.HEIC	OCR raw safety-net row from screenshot; verify before outreach. il | | | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR			
UAE / Dubai	Direct Employer	PwC Middle East				careers@pwc.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Pyypl	Company career-link lead			https://pyypl.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://pyypl.com/careers; pyypl.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Rawafed	Unclassified lead			careers@rawafed.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot; verify before outreach. 20. info@inspireselection.com | | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	Riderarabia	Job lead / direct employer			hr@riderarabia.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8496.HEIC	"OCR raw safety-net row from screenshot; verify before outreach. alo A C LJ | Le 4 | ""New Job opportunity in Abu Dhabi!"" | Hiring — Airport Coordinators # | T Location: Abu Dhabi, UAE"			
UAE / Dubai	Direct Employer	Rotana Hotels				https://www.rotanacareers.com/			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	RTA Dubai				hr@rta.ae			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Sap	Unclassified lead			careers@sap.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8044.HEIC	OCR raw safety-net row from screenshot; verify before outreach. il | | | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR			
UAE / Dubai	Direct Employer	SAP Middle East				careers@sap.com			To Contact					Low	Yes	Monitor careers	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Sarwa	Company career-link lead			https://sarwa.co/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://sarwa.co/careers; sarwa.co/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Saudi German Hospital Dubai				careers@saudigerman.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Se	Unclassified lead			careers@se.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Seidor	Unclassified lead			hr.mena@seidor.com	+971565580898; +971561123978 5		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8700.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Email IDs of MARKETING SECTOR in Dubai == | gmgmedical09@gmail.com | careers@lifepharmafze.com 0 | 1 hr@aljadaalmushriqa.ae F |			
UAE / Dubai	Direct Employer	Siemens	Unclassified lead			careers@siemens.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Sole DXB	Creative / culture platform			jobs@soledxb.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_9184.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / Dubai | Category: Creative / culture platform | Source: IMG_9184.HEIC | Move to Dubai direct employers.	https://soledxb.com; soledxb.com; https://www.linkedin.com/company/soledxb1; https://soledxb.com/		
UAE / Dubai	Direct Employer	Spark	Unclassified lead			sparkmos@spark.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot; verify before outreach. 20. info@inspireselection.com | | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	Spotii	Company career-link lead			https://spotii.me/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8704.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8704.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://spotii.me/careers; spotii.me/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Stake	Company career-link lead			https://getstake.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://getstake.com/careers; getstake.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Standard Chartered UAE				careers@sc.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Swvl	Company career-link lead			https://swvl.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8702.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8702.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://swvl.com/careers; swvl.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Tabby	Company career-link lead			https://tabby.ai/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8704.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8704.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://tabby.ai/careers; tabby.ai/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Talabat	Company career-link lead			careers@talabat.com; https://corporate.talabat.com/careers/			To Contact					Medium	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; IMG_8702.HEIC; Raw OCR: IMG_8044.HEIC	Move from Unknown into UAE/GCC direct-employer research queue. | OCR raw safety-net row from screenshot | verify before outreach. il | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR	talabat.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Talentmate	Unclassified lead			pmmo3@talentmate.com	+971565580898; +971561123978 5		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8700.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Email IDs of MARKETING SECTOR in Dubai == | gmgmedical09@gmail.com | careers@lifepharmafze.com 0 | 1 hr@aljadaalmushriqa.ae F |			
UAE / Dubai	Direct Employer	Tamara	Company career-link lead			https://tamara.co/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8704.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8704.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://tamara.co/careers; tamara.co/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Techbridge	Unclassified lead			careers@techbridge.com	+971565580898; +971561123978 5		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8700.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Email IDs of MARKETING SECTOR in Dubai == | gmgmedical09@gmail.com | careers@lifepharmafze.com 0 | 1 hr@aljadaalmushriqa.ae F |			
UAE / Dubai	Direct Employer	Tishtash	Job lead / direct employer			careers@tishtash.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8335.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Ne are hiring for two distinct roles, = es | tishtashtalks We're hiring == | Two full time, video-first creators to join our Dubai HQ. | Send your CV and showreel to careers@tishtash.com			
UAE / Dubai	Direct Employer	Trukker / Tenderd	Company career-link lead			https://tenderd.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8702.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8702.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://tenderd.com/careers; tenderd.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Voltas	Unclassified lead			careers@voltas.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Vtalentsolution	Job lead / direct employer			phu.vuong@vtalentsolution.com	0768 875 139		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8058.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Amit Yadav @ - 1st eee X | Base4d4 Vibe Coding Specialist | Al Product... | Hiring UX/UI Designer in Dubai | For more UX/UI/Product Design roles - https://			
UAE / Dubai	Direct Employer	Wio Bank	Company career-link lead			https://wio.io/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://wio.io/careers; wio.io/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Yallacompare	Company career-link lead			https://yallacompare.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://yallacompare.com/careers; yallacompare.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	YAP	Company career-link lead			https://yap.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://yap.com/careers; yap.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Ziina	Company career-link lead		anton.badashov@ziina.com; jocelyn.meyer@ziina.com	https://ziina.com/careers; anton.badashov@ziina.com; jocelyn.meyer@ziina.com		Senior Product Designer	Applied	2026-06-02	2026-06-02	2026-06-09	No Reply	High	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; Gmail sent last month	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue. | Tailored fintech/wallet UX CV sent.	https://ziina.com/careers; ziina.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.; https://job-boards.greenhouse.io/ziina/jobs/4631469101	19e898b575624043	19e898b575624043
UAE / GCC	Direct Employer	Amwal	Fintech / payments company		info@amwal.tech	info@amwal.tech		Senior Product Designer	Applied	2026-06-03	2026-06-03	2026-06-10	No Reply	High	No	Follow up if no response	Gmail sent last month	Initial tailored CV was sent as markdown then corrected with PDF in the same thread.		19e8dedb8e403e03	19e8defa3633a616
India	Direct Employer	Artgripper Studio	CGI / brand design studio			hello@artgripper.studio			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7925.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: CGI / brand design studio | Source: IMG_7925.HEIC | Official site shows Indian phone number and India work examples.	https://artgripper.studio; artgripper.studio; https://artgripper.studio/		
India	Direct Employer	Artium Academy	Direct employer / product design			priya@artiumacademy.com; pallav@artiumacademy.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_8393.HEIC	On-site product designer role in Bangalore.	https://artiumacademy.com; artiumacademy.com; OCR: IMG_8393.txt		
India	Direct Employer	ASAP Media	Creative studio hiring designer / photographer / content creator			contact@asapmedia.co.in			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_8495.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Creative studio hiring designer / photographer / content creator | Source: IMG_8495.HEIC | OCR also read spam@asapmedia.co.in | treat that as OCR suspect | use contact@ first.	https://asapmedia.co.in; asapmedia.co.in; https://asapmedia.co.in/; https://in.linkedin.com/company/asap_media		
India	Direct Employer	Asapmedia	Job lead / direct employer			contact@asapmedia.co.in; spam@asapmedia.co.in			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8495.HEIC	OCR raw safety-net row from screenshot | verify before outreach. ASAP Media is growing and we're hiring. | Open roles: | Apply at spam@asapmedia.co.in / | contact@asapmedia.co.in			
India	Direct Employer	Byond Studio	Creative studio			team@wearebyond.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7877.HEIC	Hiring within Delhi only.	https://wearebyond.com; wearebyond.com; OCR: IMG_7877.txt		
India	Direct Employer	Celonis	Direct employer / careers link						To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7186.HEIC	Bangalore / India careers link surfaced in the post.	https://careers.celonis.com/join-us; careers.celonis.com/join-us; OCR: IMG_7186.txt		
India	Direct Employer	Gmail contact lead	Job lead / direct employer			jaaniscafe@gmail.com			To Contact					Low	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8711.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Shoja, Himachal Pradesh, India | 'Y | BEER AAA \R | | | ERE | \ B NE EA NN : Nan | | Paid role ff ¢i¢. 6 % EERIE AL gp			
India	Direct Employer	Jaani's Cafe	Hospitality / performance role			jaaniscafe@gmail.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_8711.HEIC	Shoja | Himachal Pradesh | paid role with stay and food covered.	OCR: IMG_8711.txt		
India	Direct Employer	LearnTube.ai	Direct employer / hybrid roles			shronit@learntube.ai; gargi@learntube.ai			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_8836.HEIC	Mumbai roles with hybrid work structure.	https://learntube.ai; learntube.ai; OCR: IMG_8836.txt		
India	Direct Employer	Little Green Studio	Creative / design studio			hr@littlegreenstudio.in			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7871.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Creative / design studio | Source: IMG_7871.HEIC | Indian domain and LinkedIn hiring post.	https://littlegreenstudio.in; littlegreenstudio.in; https://in.linkedin.com/company/little-green-studio		
India	Direct Employer	Littlegreenstudio	Unclassified lead			hr@littlegreenstudio.in			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_7871.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | Brrr | Write to hr@littlegreenstudio.in with your CV & 39			
India	Direct Employer	Lovedwell	Lifestyle/design studio			info@lovedwell.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_8482.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Lifestyle/design studio | Source: IMG_8482.HEIC | Official contact page says Simbuno India Pvt. Ltd. | Noida.	https://lovedwell.com; lovedwell.com; https://lovedwell.com/pages/contact		
India	Direct Employer	Merck	Direct employer / careers link						To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7186.HEIC	Bangalore / India careers link surfaced in the post.	https://careers.merckgroup.com; careers.merckgroup.com; OCR: IMG_7186.txt		
India	Direct Employer	Museo Camera	Museum / design or creative role			contact@museocamera.org			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_9156.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Museum / design or creative role | Source: IMG_9156.HEIC | Official page lists Gurugram | Haryana.	https://museocamera.org; museocamera.org; https://www.museocamera.org/working-at-museo-camera		
India	Direct Employer	Nikah Forever	Direct employer			career@nikahforever.com	WhatsApp: +91-8448293814		To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7919.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Direct employer | Source: IMG_7919.HEIC | India lead | keep WhatsApp in row but not phone-only.	https://nikahforever.com; nikahforever.com; https://nikahforever.com/home/contact_us		
India	Direct Employer	Onething Design	UI/UX design agency hiring designers			people@onething.design			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7193.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: UI/UX design agency hiring designers | Source: IMG_7193.HEIC | Design roles | route outside Dubai under India.	https://onething.design; onething.design; https://www.onething.design/careers		
India	Direct Employer	RAD LVNG	Consumer brand / creative role			talent@radlvng.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_9323.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Consumer brand / creative role | Source: IMG_9323.HEIC | Official site lists Rad Brands Pvt. Ltd. | Noida | India.	https://radlvng.com; radlvng.com; https://radlvng.com/; https://radlvng.com/pages/about-us		
India	Direct Employer	ShaperCult	Direct employer / designer role			kajal@shapercult.com			To Contact					High	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7975.HEIC; Raw OCR: IMG_7975.HEIC	Senior Visual Designer role in Gurugram | Haryana. | OCR raw safety-net row from screenshot | verify before outreach. Experience in D2C [ fashion / lifestyle | e-commerce | Apply kajal@shapercult.com | Set alert for similar jobs | Haryana | India	https://shapercult.com; shapercult.com; OCR: IMG_7975.txt		
India	Direct Employer	Social Watch	Digital marketing / creative agency			hr@socialwatch.io			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_8730.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Digital marketing / creative agency | Source: IMG_8730.HEIC | Official careers page lists Mohali | Punjab | India.	https://socialwatch.io; socialwatch.io; https://socialwatch.io/careers/		
India	Direct Employer	Studio Murb	Design / marketing studio			hey@studiomurb.com			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_8843.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Design / marketing studio | Source: IMG_8843.HEIC | Official site has hiring email | India inferred from web presence and projects.	https://studiomurb.com; studiomurb.com; https://www.studiomurb.com/		
India	Direct Employer	Talabat				careers@talabat.com; https://corporate.talabat.com/careers/		Staff Product Designer; Product Designer	To Contact					High	No	Tailor resume and apply	Current Master Job Tracker		https://designproject.io/jobs/staff-product-designer-global-hub-q-commerce-at-delivery-hero-devjh1; https://ae.indeed.com/viewjob?jk=4027932f0f2914b3		
India	Direct Employer	The Art Curry	Creative / internship roles			hellu@theartcurry.in			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_7157.HEIC	Delhi NCR only | social media intern | design intern | photographer/videographer.	https://theartcurry.in; theartcurry.in; OCR: IMG_7157.txt		
India	Direct Employer	The Ombre	Photography / creative studio			careers@theombre.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_8936.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Photography / creative studio | Source: IMG_8936.HEIC | Official contact page says Delhi NCR | India.	https://theombre.com; theombre.com; https://theombre.com/contact		
India	Direct Employer	WebVeda	Education / content-course company			divyam.chutani@webveda.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: outside-dubai-proposed.csv; IMG_9315.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: India | Category: Education / content-course company | Source: IMG_9315.HEIC | Official contact page/LinkedIn place WebVeda in Faridabad | India.	https://webveda.com; webveda.com; https://webveda.com/contactus; https://in.linkedin.com/company/webveda		
India / Bangalore	Direct Employer	Artiumacademy	Job lead / direct employer			pallav@artiumacademy.com; priya@artiumacademy.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8393.HEIC	OCR raw safety-net row from screenshot | verify before outreach. 05:29 oi! + @ | We are Hiring & | priya@artiumacademy.com | pallav@artiumacademy.com			
India / Delhi	Direct Employer	Wearebyond	Job lead / direct employer			team@wearebyond.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_7877.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Apply at team@wearebyond.com | ® Hiring within Delhi only \'74 | #ByondStudio #HiringCreatives | #DesignJobsindia -			
